min_point,launches_per_mission,ship_reuse_missions,clearing_price_m_per_t,n_missions,nre_b,per_mission_cost_b,conditional_revenue_per_mission_b,conditional_cashflow_per_mission_b,conditional_program_npv0_b,conjunction_posterior_uniform,expected_revenue_per_mission_b,conjunction_weighted_cashflow_b,conjunction_weighted_npv0_b
H2a_no_aerocapture,5,5,100,25,0.5,1.63,4.204,2.574,63.849999999999994,0.0016687499999999999,0.007015424999999999,-1.6229845749999998,-41.074614374999996
H2a_no_aerocapture,5,5,100,25,1.0,1.63,4.204,2.574,63.349999999999994,0.0016687499999999999,0.007015424999999999,-1.6229845749999998,-41.574614374999996
H2a_no_aerocapture,5,5,100,25,3.0,1.63,4.204,2.574,61.349999999999994,0.0016687499999999999,0.007015424999999999,-1.6229845749999998,-43.574614374999996
H2a_no_aerocapture,5,5,100,50,0.5,1.63,4.204,2.574,128.2,0.0016687499999999999,0.007015424999999999,-1.6229845749999998,-81.64922874999999
H2a_no_aerocapture,5,5,100,50,1.0,1.63,4.204,2.574,127.69999999999999,0.0016687499999999999,0.007015424999999999,-1.6229845749999998,-82.14922874999999
H2a_no_aerocapture,5,5,100,50,3.0,1.63,4.204,2.574,125.69999999999999,0.0016687499999999999,0.007015424999999999,-1.6229845749999998,-84.14922874999999
H2a_no_aerocapture,5,15,2.5,10,0.5,1.5433333333333334,0.1051,-1.4382333333333335,-14.882333333333335,0.0016687499999999999,0.00017538562499999996,-1.5431579477083335,-15.931579477083336
H2a_no_aerocapture,5,15,2.5,10,1.0,1.5433333333333334,0.1051,-1.4382333333333335,-15.382333333333335,0.0016687499999999999,0.00017538562499999996,-1.5431579477083335,-16.431579477083336
H2a_no_aerocapture,5,15,2.5,10,3.0,1.5433333333333334,0.1051,-1.4382333333333335,-17.382333333333335,0.0016687499999999999,0.00017538562499999996,-1.5431579477083335,-18.431579477083336
H2a_no_aerocapture,5,15,2.5,25,0.5,1.5433333333333334,0.1051,-1.4382333333333335,-36.45583333333334,0.0016687499999999999,0.00017538562499999996,-1.5431579477083335,-39.07894869270834
H2a_no_aerocapture,5,15,2.5,25,1.0,1.5433333333333334,0.1051,-1.4382333333333335,-36.95583333333334,0.0016687499999999999,0.00017538562499999996,-1.5431579477083335,-39.57894869270834
H2a_no_aerocapture,5,15,2.5,25,3.0,1.5433333333333334,0.1051,-1.4382333333333335,-38.95583333333334,0.0016687499999999999,0.00017538562499999996,-1.5431579477083335,-41.57894869270834
H2a_no_aerocapture,5,15,2.5,50,0.5,1.5433333333333334,0.1051,-1.4382333333333335,-72.41166666666668,0.0016687499999999999,0.00017538562499999996,-1.5431579477083335,-77.65789738541667
H2a_no_aerocapture,5,15,2.5,50,1.0,1.5433333333333334,0.1051,-1.4382333333333335,-72.91166666666668,0.0016687499999999999,0.00017538562499999996,-1.5431579477083335,-78.15789738541667
