target,r_p_R_saturn,r_p_km,r_a_km,v_p_hyperbolic_kms,v_p_ellipse_kms,soi_dv_kms,orbit_period_days,ring_zone_at_periapsis,tau_at_periapsis
r_a = 6 r_titan,1.2185153151366932,73437.48101265823,7251282.0,32.597760531733435,31.97910804430437,0.6186524874290669,82.75786773632376,D-ring,0.0005
r_a = r_titan,1.2581299730402515,75824.97721518988,1208547.0,32.09497382387404,30.682698352352507,1.4122754715215358,6.076577333007246,C-ring,0.1
r_a = 3 r_titan,1.2581299730402515,75824.97721518988,3625641.0,32.09497382387404,31.304927881404478,0.7900459424695647,29.729214867092296,C-ring,0.1
r_a = 6 r_titan,1.2581299730402515,75824.97721518988,7251282.0,32.09497382387404,31.466491370392877,0.6284824534811655,82.79833348970476,C-ring,0.1
r_a = r_titan,1.2977446309438097,78212.47341772151,1208547.0,31.61560532239821,30.18272230780673,1.4328830145914786,6.093528666677339,C-ring,0.1
r_a = 3 r_titan,1.2977446309438097,78212.47341772151,3625641.0,31.61560532239821,30.81348529446332,0.8021200279348903,29.757983130388823,C-ring,0.1
r_a = 6 r_titan,1.2977446309438097,78212.47341772151,7251282.0,31.61560532239821,30.97745320218735,0.6381521202108615,82.83880583639089,C-ring,0.1
r_a = r_titan,1.3373592888473678,80599.96962025316,1208547.0,31.157904125671866,29.704787529370723,1.4531165963011432,6.110495733684457,C-ring,0.1
r_a = 3 r_titan,1.3373592888473678,80599.96962025316,3625641.0,31.157904125671866,30.343904820570753,0.8139993051011132,29.786760667161342,C-ring,0.1
r_a = 6 r_titan,1.3373592888473678,80599.96962025316,7251282.0,31.157904125671866,30.510235444590947,0.6476686810809191,82.87928477530822,C-ring,0.1
r_a = r_titan,1.376973946750926,82987.46582278481,1208547.0,30.720297091433178,29.247304987285965,1.4729921041472132,6.1274785194527865,C-ring,0.1
r_a = 3 r_titan,1.376973946750926,82987.46582278481,3625641.0,30.720297091433178,29.894604878106303,0.8256922133268745,29.815547474422466,C-ring,0.1
r_a = 6 r_titan,1.376973946750926,82987.46582278481,7251282.0,30.720297091433178,30.063258289134154,0.6570388022990237,82.91977030538341,C-ring,0.1
r_a = r_titan,1.4165886046544842,85374.96202531646,1208547.0,30.301366294911137,28.80884198471325,1.4925243101978865,6.144477009446956,C-ring,0.1
r_a = 3 r_titan,1.4165886046544842,85374.96202531646,3625641.0,30.301366294911137,29.464159702802743,0.8372065921083944,29.844343549187702,C-ring,0.1
r_a = 6 r_titan,1.4165886046544842,85374.96202531646,7251282.0,30.301366294911137,29.635097619426833,0.6662686754843037,82.96026242554348,C-ring,0.1
r_a = r_titan,1.4562032625580426,87762.45822784811,1208547.0,29.899829884559114,28.388102905783565,1.511726978775549,6.161491189171839,C-ring,0.1
r_a = 3 r_titan,1.4562032625580426,87762.45822784811,3625641.0,29.899829884559114,29.051280145265576,0.8485497392935386,29.873148888475416,C-ring,0.1
r_a = 6 r_titan,1.4562032625580426,87762.45822784811,7251282.0,29.899829884559114,29.224465820805772,0.6753640637533422,83.0007611347161,C-ring,0.1
r_a = r_titan,1.495817920461601,90149.95443037976,1208547.0,29.514525746364214,27.983912785276047,1.530612961088167,6.1785210441723715,C-ring,0.1
