mass_model,power_mwe,isp_exit_s,isp_inbound_s,m_power_t,m_dry_total_t,m_at_exit_t,m_post_exit_t,m_at_earth_t,delivered_t,delivered_pct,t_exit_month,t_inbound_year,exit_closes,inbound_closes,mass_closes,all_close
bundled_finding_4,2.0,9000,9000,205.00,339.13,539.13,495.771,381.173,42.043,21.0215,49.398,10.8799,no,no,yes,no
bundled_finding_4,5.0,3000,3000,505.00,639.13,839.13,652.516,296.562,-342.568,-171.2842,9.449,1.5020,no,yes,no,no
bundled_finding_4,5.0,3000,5000,505.00,639.13,839.13,652.516,406.542,-232.588,-116.2940,9.449,2.8831,no,yes,no,no
bundled_finding_4,5.0,3000,7000,505.00,639.13,839.13,652.516,465.389,-173.741,-86.8707,9.449,4.2989,no,yes,no,no
bundled_finding_4,5.0,3000,9000,505.00,639.13,839.13,652.516,501.687,-137.443,-68.7217,9.449,5.7279,no,yes,no,no
bundled_finding_4,5.0,5000,3000,505.00,639.13,839.13,721.583,327.952,-311.178,-155.5890,16.533,1.6609,no,yes,no,no
bundled_finding_4,5.0,5000,5000,505.00,639.13,839.13,721.583,449.573,-189.557,-94.7783,16.533,3.1882,no,yes,no,no
bundled_finding_4,5.0,5000,7000,505.00,639.13,839.13,721.583,514.649,-124.481,-62.2406,16.533,4.7539,no,yes,no,no
bundled_finding_4,5.0,5000,9000,505.00,639.13,839.13,721.583,554.789,-84.341,-42.1706,16.533,6.3342,no,no,no,no
bundled_finding_4,5.0,7000,3000,505.00,639.13,839.13,753.378,342.402,-296.728,-148.3638,23.640,1.7341,no,yes,no,no
bundled_finding_4,5.0,7000,5000,505.00,639.13,839.13,753.378,469.383,-169.747,-84.8736,23.640,3.3287,no,yes,no,no
bundled_finding_4,5.0,7000,7000,505.00,639.13,839.13,753.378,537.325,-101.805,-50.9023,23.640,4.9634,no,yes,no,no
bundled_finding_4,5.0,7000,9000,505.00,639.13,839.13,753.378,579.234,-59.896,-29.9479,23.640,6.6133,no,no,no,no
bundled_finding_4,5.0,9000,3000,505.00,639.13,839.13,771.643,350.704,-288.426,-144.2131,30.755,1.7762,no,yes,no,no
bundled_finding_4,5.0,9000,5000,505.00,639.13,839.13,771.643,480.763,-158.367,-79.1836,30.755,3.4094,no,yes,no,no
bundled_finding_4,5.0,9000,7000,505.00,639.13,839.13,771.643,550.353,-88.777,-44.3887,30.755,5.0837,no,yes,no,no
bundled_finding_4,5.0,9000,9000,505.00,639.13,839.13,771.643,593.277,-45.853,-22.9263,30.755,6.7736,no,no,no,no
bundled_finding_4,10.0,3000,3000,1005.00,1139.13,1339.13,1041.321,473.269,-665.861,-332.9303,7.540,1.1985,no,yes,no,no
bundled_finding_4,10.0,3000,5000,1005.00,1139.13,1339.13,1041.321,648.782,-490.348,-245.1739,7.540,2.3005,no,yes,no,no
bundled_finding_4,10.0,3000,7000,1005.00,1139.13,1339.13,1041.321,742.693,-396.437,-198.2187,7.540,3.4302,no,yes,no,no
bundled_finding_4,10.0,3000,9000,1005.00,1139.13,1339.13,1041.321,800.619,-338.511,-169.2555,7.540,4.5704,no,yes,no,no
bundled_finding_4,10.0,5000,3000,1005.00,1139.13,1339.13,1151.542,523.364,-615.766,-307.8831,13.192,1.3253,no,yes,no,no
bundled_finding_4,10.0,5000,5000,1005.00,1139.13,1339.13,1151.542,717.454,-421.676,-210.8379,13.192,2.5440,no,yes,no,no
bundled_finding_4,10.0,5000,7000,1005.00,1139.13,1339.13,1151.542,821.305,-317.825,-158.9126,13.192,3.7933,no,yes,no,no
bundled_finding_4,10.0,5000,9000,1005.00,1139.13,1339.13,1151.542,885.363,-253.767,-126.8837,13.192,5.0542,no,yes,no,no
bundled_finding_4,10.0,7000,3000,1005.00,1139.13,1339.13,1202.282,546.425,-592.705,-296.3527,18.863,1.3837,no,yes,no,no
bundled_finding_4,10.0,7000,5000,1005.00,1139.13,1339.13,1202.282,749.067,-390.063,-195.0315,18.863,2.6561,no,yes,no,no
bundled_finding_4,10.0,7000,7000,1005.00,1139.13,1339.13,1202.282,857.494,-281.636,-140.8182,18.863,3.9604,no,yes,no,no
bundled_finding_4,10.0,7000,9000,1005.00,1139.13,1339.13,1202.282,924.374,-214.756,-107.3780,18.863,5.2769,no,yes,no,no
bundled_finding_4,10.0,9000,3000,1005.00,1139.13,1339.13,1231.431,559.672,-579.458,-289.7288,24.540,1.4173,no,yes,no,no
bundled_finding_4,10.0,9000,5000,1005.00,1139.13,1339.13,1231.431,767.228,-371.902,-185.9511,24.540,2.7205,no,yes,no,no
bundled_finding_4,10.0,9000,7000,1005.00,1139.13,1339.13,1231.431,878.283,-260.847,-130.4234,24.540,4.0565,no,yes,no,no
bundled_finding_4,10.0,9000,9000,1005.00,1139.13,1339.13,1231.431,946.785,-192.345,-96.1726,24.540,5.4049,no,yes,no,no
