savings_kms,tps_areal_density_kg_m2,coverage_frac,dv_inbound_kms,m_dry_base_eff_t,m_shield_t,m_dry_total_t,m_post_exit_t,m_at_earth_t,m_delivered_t,delivered_fraction
0.5,30,1.0,24.2,180.0,4.961641441688155,184.96164144168816,345.6218041387066,210.98825713475617,26.02661569306801,0.13013307846534006
0.5,50,0.3,24.2,180.0,2.4808207208440773,182.48082072084406,343.39450240009245,209.6285787049925,27.147757984148427,0.13573878992074215
0.5,50,0.5,24.2,180.0,4.134701201406796,184.13470120140678,344.87937022583515,210.53503099150157,26.400329790094787,0.13200164895047395
0.5,50,1.0,24.2,180.0,8.269402402813592,188.2694024028136,348.5915397901921,212.8011617077744,24.531759304960815,0.12265879652480408
0.5,80,0.3,24.2,180.0,3.969313153350524,183.96931315335053,344.73088344326095,210.44438576285071,26.475072609500188,0.13237536304750094
0.5,80,0.5,24.2,180.0,6.615521922250873,186.61552192225088,347.10667196444933,211.89470942126528,25.279187499014398,0.126395937495072
0.5,80,1.0,24.2,180.0,13.231043844501746,193.23104384450176,353.0461432674203,215.52051856730174,22.28947472279998,0.1114473736139999
0.5,120,0.3,24.2,180.0,5.9539697300257854,185.9539697300258,346.5127248341522,211.53212850666162,25.57815877663583,0.12789079388317914
0.5,120,0.5,24.2,180.0,9.92328288337631,189.92328288337632,350.07640761593484,213.70761399428352,23.784331110907203,0.11892165555453602
0.5,120,1.0,24.2,180.0,19.84656576675262,199.84656576675263,358.9856145703913,219.14632771333822,19.29976194658559,0.09649880973292796
0.5,200,0.3,24.2,180.0,9.92328288337631,189.92328288337632,350.07640761593484,213.70761399428352,23.784331110907203,0.11892165555453602
0.5,200,0.5,24.2,180.0,16.538804805627183,196.5388048056272,356.0158789189058,217.33342314031998,20.794618334692785,0.10397309167346393
0.5,200,1.0,24.2,180.0,33.07760961125437,213.07760961125436,370.8645571763333,226.39794600541117,13.320336394156811,0.06660168197078406
1.0,0,0.3,23.7,180.0,0.0,180.0,341.1672006614783,210.40351703773374,30.403517037733735,0.15201758518866867
1.0,0,0.5,23.7,180.0,0.0,180.0,341.1672006614783,210.40351703773374,30.403517037733735,0.15201758518866867
1.0,0,1.0,23.7,180.0,0.0,180.0,341.1672006614783,210.40351703773374,30.403517037733735,0.15201758518866867
1.0,30,0.3,23.7,180.0,1.4884924325064464,181.48849243250643,342.50358170464676,211.2276855716374,29.739193139130975,0.14869596569565488
1.0,30,0.5,23.7,180.0,2.4808207208440773,182.48082072084406,343.39450240009245,211.77713126090657,29.296310540062507,0.14648155270031255
1.0,30,1.0,23.7,180.0,4.961641441688155,184.96164144168816,345.6218041387066,213.15074548407944,28.18910404239128,0.1409455202119564
1.0,50,0.3,23.7,180.0,2.4808207208440773,182.48082072084406,343.39450240009245,211.77713126090657,29.296310540062507,0.14648155270031255
1.0,50,0.5,23.7,180.0,4.134701201406796,184.13470120140678,344.87937022583515,212.6928740763551,28.558172874948326,0.14279086437474164
1.0,50,1.0,23.7,180.0,8.269402402813592,188.2694024028136,348.5915397901921,214.98223111497657,26.712828712162974,0.13356414356081486
1.0,80,0.3,23.7,180.0,3.969313153350524,183.96931315335053,344.73088344326095,212.6012997948103,28.631986641459775,0.1431599332072989
1.0,80,0.5,23.7,180.0,6.615521922250873,186.61552192225088,347.10667196444933,214.066488299528,27.450966377277126,0.13725483188638563
1.0,80,1.0,23.7,180.0,13.231043844501746,193.23104384450176,353.0461432674203,217.72945956132222,24.49841571682046,0.1224920785841023
1.0,120,0.3,23.7,180.0,5.9539697300257854,185.9539697300258,346.5127248341522,213.70019117334854,27.746221443322753,0.13873110721661377
1.0,120,0.5,23.7,180.0,9.92328288337631,189.92328288337632,350.07640761593484,215.89797393042514,25.97469104704882,0.1298734552352441
1.0,120,1.0,23.7,180.0,19.84656576675262,199.84656576675263,358.9856145703913,221.39243082311648,21.54586505636385,0.10772932528181926
1.0,200,0.3,23.7,180.0,9.92328288337631,189.92328288337632,350.07640761593484,215.89797393042514,25.97469104704882,0.1298734552352441
1.0,200,0.5,23.7,180.0,16.538804805627183,196.5388048056272,356.0158789189058,219.56094519221935,23.022140386592156,0.11511070193296077
